observer,set,rep,pack_rep,card_name,rarity,card_type,creature_type,power,toughness,n_colors,color,CMC,finish,n_keywords,keywords,n,price
mz,Zendikar Rising,1,8,Acquisitions Expert,Uncommon,Creature,Human Rogue,1,2,1,Black,2,Regular,0,,1,0.25
mz,Zendikar Rising,2,17,Acquisitions Expert,Uncommon,Creature,Human Rogue,1,2,1,Black,2,Regular,0,,1,0.25
mz,Zendikar Rising,3,6,Acquisitions Expert,Uncommon,Creature,Human Rogue,1,2,1,Black,2,Regular,0,,1,0.25
mz,Zendikar Rising,3,17,Acquisitions Expert,Uncommon,Creature,Human Rogue,1,2,1,Black,2,Regular,0,,1,0.25
mz,Zendikar Rising,4,13,Acquisitions Expert,Uncommon,Creature,Human Rogue,1,2,1,Black,2,Regular,0,,1,0.25
mz,Zendikar Rising,4,28,Acquisitions Expert,Uncommon,Creature,Human Rogue,1,2,1,Black,2,Regular,0,,1,0.25
mz,Zendikar Rising,5,12,Acquisitions Expert,Uncommon,Creature,Human Rogue,1,2,1,Black,2,Regular,0,,1,0.25
mz,Ikoria: Lair of Behemoths,1,24,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Ikoria: Lair of Behemoths,1,26,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Ikoria: Lair of Behemoths,2,3,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Ikoria: Lair of Behemoths,2,7,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Ikoria: Lair of Behemoths,2,26,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Ikoria: Lair of Behemoths,3,3,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Ikoria: Lair of Behemoths,3,12,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Ikoria: Lair of Behemoths,3,27,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Ikoria: Lair of Behemoths,3,32,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Ikoria: Lair of Behemoths,4,17,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Ikoria: Lair of Behemoths,4,21,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Ikoria: Lair of Behemoths,4,26,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Ikoria: Lair of Behemoths,5,13,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Ikoria: Lair of Behemoths,5,29,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Ikoria: Lair of Behemoths,5,33,Adaptive Shimmerer,Common,Creature,Insect,0,0,0,Colorless,5,Regular,1,Flash,1,0.15
mz,Zendikar Rising,1,7,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,1,8,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,1,26,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,2,10,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,2,30,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,2,33,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,3,9,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,3,19,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,3,21,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,3,25,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,4,2,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,4,34,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,4,35,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,5,1,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,5,12,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Zendikar Rising,5,13,Adventure Awaits,Common,Sorcery,,,,1,Green,2,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,1,4,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,1,17,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,1,29,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,1,35,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,1,36,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,2,5,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,2,7,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,2,13,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,2,32,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,3,26,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,3,31,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,3,36,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,4,2,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,4,16,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,4,20,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,4,29,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,5,7,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,5,10,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,5,21,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,5,28,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,5,31,Adventurous Impulse,Common,Sorcery,,,,1,Green,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,1,8,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,2,5,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,2,8,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,2,19,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,2,20,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,3,22,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,3,31,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,4,2,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,4,9,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,4,12,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,4,20,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,4,29,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,4,30,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,4,35,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,5,3,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Ikoria: Lair of Behemoths,5,12,Aegis Turtle,Common,Creature,Turtle,0,5,1,Blue,1,Regular,0,,1,0.15
mz,Zendikar Rising,2,20,"Agadeem's Awakening // Agadeem, the Undercrypt",Mythic,Sorcery,,,,1,Black,3,Regular,0,,1,28
mz,Zendikar Rising,5,4,"Akiri, Fearless Voyager",Rare,Creature,Kor Warrior,3,3,2,"Red, White",3,Regular,0,,1,0.5
mz,Zendikar Rising,1,6,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Regular,1,Landfall,1,0.15
mz,Zendikar Rising,1,7,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Regular,1,Landfall,1,0.15
mz,Zendikar Rising,1,19,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Showcase,1,Landfall,1,0.25
mz,Zendikar Rising,2,2,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Regular,1,Landfall,1,0.15
mz,Zendikar Rising,2,3,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Showcase,1,Landfall,1,0.25
mz,Zendikar Rising,2,30,Akoum Hellhound,Common,Creature,Elemental Dog,0,1,1,Red,1,Regular,1,Landfall,1,0.15
